	module	trimmed_erpe_2018_pw_0hr_WHONDRS.PP48.000085_95ID.sorted	trimmed_erpe_2018_pw_3hr_WHONDRS.PP48.000086_95ID.sorted	trimmed_erpe_2018_pw_6hr_WHONDRS.PP48.000087_95ID.sorted	trimmed_erpe_2018_pw_9hr_WHONDRS.PP48.000088_95ID.sorted	trimmed_erpe_2018_pw_12hr_WHONDRS.PP48.000089_95ID.sorted	trimmed_erpe_2018_pw_15hr_WHONDRS.PP48.000090_95ID.sorted	trimmed_erpe_2018_pw_18hr_WHONDRS.PP48.000091_95ID.sorted	trimmed_erpe_2018_pw_21hr_WHONDRS.PP48.000092_95ID.sorted	trimmed_erpe_2018_pw_24hr_WHONDRS.PP48.000093_95ID.sorted	trimmed_erpe_2018_pw_27hr_WHONDRS.PP48.000094_95ID.sorted	trimmed_erpe_2018_pw_30hr_WHONDRS.PP48.000095_95ID.sorted	trimmed_erpe_2018_pw_33hr_WHONDRS.PP48.000096_95ID.sorted	trimmed_erpe_2018_pw_36hr_WHONDRS.PP48.000097_95ID.sorted	trimmed_erpe_2018_pw_39hr_WHONDRS.PP48.000098_95ID.sorted	trimmed_erpe_2018_pw_42hr_WHONDRS.PP48.000099_95ID.sorted	trimmed_erpe_2018_pw_45hr_WHONDRS.PP48.000100_95ID.sorted	trimmed_erpe_2018_pw_48hr_WHONDRS.PP48.000101_95ID.sorted
erpe_2018_pw_12hr_WHONDRS-PP48-000089_A_NODE_5_length_42632_cov_3.586943__full-cat_2	blue	125.8249213	211.1554915	139.5082421	435.7486473	87.41466371	347.2323449	457.9597887	97.29653516	178.8984684	270.455926	127.7117548	413.2509668	96.97364564	99.52940037	107.3291382	177.1971014	227.8168043
erpe_2018_pw_12hr_WHONDRS-PP48-000089_B_k121_521054__full-cat_1	turquoise	0	0	0	0	5.673426117	0	19.63263089	7.618422719	0	0	0	0	0	9.874250636	0	0	0
erpe_2018_pw_12hr_WHONDRS-PP48-000089_B_k121_916198__full-cat_1	turquoise	9.67637948	13.98891363	0	38.7265211	10.36751082	27.78630601	54.95112667	12.06015995	13.7830581	21.02641198	13.82779575	36.2254039	0	7.894323773	9.662515408	22.29543275	0
erpe_2018_pw_15hr_WHONDRS-PP48-000090_B_k121_565505__full-cat_1	blue	11.38773916	39.43331558	114.8042836	126.598985	18.35420889	109.5050601	103.5604413	91.8708688	226.1546676	187.9050479	96.79457022	190.2712962	71.51051301	40.30928023	28.20644468	46.02638633	154.8172012
erpe_2018_pw_15hr_WHONDRS-PP48-000090_A_NODE_8_length_35635_cov_3.033992__full-cat_1	blue	89.55049374	161.2029535	115.4654601	345.226157	65.70030065	281.7222692	344.0095702	72.47340874	146.269188	211.7448531	107.5985974	331.7731166	76.43586348	82.75078939	81.66850598	134.0417567	176.3598975
erpe_2018_pw_18hr_WHONDRS-PP48-000091_A_NODE_11_length_46236_cov_2.038669__full-cat_1	turquoise	0	0	0	73.2973191	31.99744789	0	140.9703857	34.1282848	0	0	0	0	46.0009148	43.0761011	0	85.95180917	0
erpe_2018_pw_18hr_WHONDRS-PP48-000091_A_NODE_23_length_37242_cov_2.161956__full-cat_1	turquoise	0	0	0	0	30.8999101	0	115.8055358	27.24078086	0	0	0	0	0	49.04126537	0	55.71615187	0
erpe_2018_pw_18hr_WHONDRS-PP48-000091_A_NODE_60_length_26317_cov_1.482474__full-cat_2	turquoise	0	0	0	34.75148161	9.89472531	0	43.07709562	15.82720292	0	0	0	0	0	0	0	0	0
erpe_2018_pw_18hr_WHONDRS-PP48-000091_A_NODE_276_length_14508_cov_1.668451__full-cat_2	brown	0	0	0	0	0	0	16.93398747	20.85929763	43.8807564	28.43007817	9.988628868	37.51498138	16.35588082	9.823483281	0	0	0
erpe_2018_pw_18hr_WHONDRS-PP48-000091_A_NODE_362_length_13072_cov_2.498957__full-cat_2	turquoise	5.326007218	0	0	33.90829142	11.07668908	0	49.08157723	11.89148638	0	0	0	0	0	10.81344671	7.521718581	20.50103173	0
erpe_2018_pw_18hr_WHONDRS-PP48-000091_A_NODE_406_length_12609_cov_1.442477__full-cat_1	turquoise	0	0	0	0	5.960474462	0	26.10937511	0	0	0	0	0	11.70932377	11.54957337	0	0	0
erpe_2018_pw_18hr_WHONDRS-PP48-000091_A_NODE_414_length_12520_cov_1.606713__full-cat_1	turquoise	4.382360294	0	0	20.53770404	4.778510687	0	27.66109507	7.337300109	0	0	0	0	0	7.158197119	0	11.43930654	0
erpe_2018_pw_18hr_WHONDRS-PP48-000091_A_NODE_525_length_11488_cov_8.028695__full-cat_2	blue	27.65365309	52.70626119	107.8919838	150.5696777	36.59022141	211.7741031	130.2770112	74.3007057	302.8897339	480.0537158	356.3290461	602.4671541	149.619137	69.01821974	58.9587018	129.7351942	288.5381867
erpe_2018_pw_18hr_WHONDRS-PP48-000091_A_NODE_574_length_11065_cov_1.303438__full-cat_1	turquoise	0	0	0	0	3.799169274	0	20.34102479	9.108372549	0	0	0	0	0	15.33174135	0	0	0
erpe_2018_pw_18hr_WHONDRS-PP48-000091_A_NODE_614_length_10760_cov_1.366501__full-cat_1	turquoise	9.756349559	0	0	18.55018429	4.761625491	0	22.19634214	0	0	0	0	0	0	6.320535754	0	0	0
erpe_2018_pw_18hr_WHONDRS-PP48-000091_B_k121_29400__full-cat_2	brown	5.933779814	0	0	0	0	20.45380859	12.00896323	8.321229242	22.10915034	18.36109215	15.8323165	0	11.19820249	0	0	0	26.677225
erpe_2018_pw_18hr_WHONDRS-PP48-000091_B_k121_88500__full-cat_2	grey	9.292523104	28.8039442	0	0	5.538344542	24.60245844	21.62288042	8.124443416	30.71652948	0	8.49373203	0	0	0	8.44746856	0	0
erpe_2018_pw_18hr_WHONDRS-PP48-000091_B_k121_93254__full-cat_1	turquoise	0	0	0	0	4.035562029	0	18.92423699	8.208780199	0	0	0	0	0	8.021242162	0	0	0
erpe_2018_pw_18hr_WHONDRS-PP48-000091_B_k121_207953__full-cat_1	turquoise	18.80896243	0	0	123.34668	28.50221216	0	144.1412918	47.90329267	0	0	0	0	0	35.35946307	0	67.42461857	0
erpe_2018_pw_18hr_WHONDRS-PP48-000091_B_k121_351128__full-cat_1	turquoise	28.64528207	0	0	157.1345156	36.97858094	0	218.0503885	53.66630616	0	0	0	0	0	56.09792778	0	100.1275773	0
erpe_2018_pw_18hr_WHONDRS-PP48-000091_B_k121_447689__full-cat_1	turquoise	0	0	0	86.426995	22.03518179	0	119.9547001	30.89537479	0	0	0	0	0	31.04423786	0	54.77409133	0
erpe_2018_pw_18hr_WHONDRS-PP48-000091_B_k121_926198__full-cat_1	turquoise	0	0	0	0	0	0	23.78179515	13.52199752	0	0	0	0	0	11.72725911	0	0	0
erpe_2018_pw_18hr_WHONDRS-PP48-000091_B_k121_1587527__full-cat_1	turquoise	0	0	0	43.18338356	7.294405007	0	56.36791447	0	0	0	0	0	0	0	0	0	0
erpe_2018_pw_18hr_WHONDRS-PP48-000091_B_k121_2154640__full-cat_1	turquoise	0	0	0	48.06184112	19.55305787	0	84.40007301	35.11221393	0	0	0	0	37.54418097	39.75083932	0	36.06746063	0
erpe_2018_pw_18hr_WHONDRS-PP48-000091_B_k121_2242736__full-cat_1	turquoise	0	0	0	72.57458465	19.63748385	0	96.40903624	0	0	0	0	0	0	0	0	43.69366499	0
erpe_2018_pw_18hr_WHONDRS-PP48-000091_B_k121_2271587__full-cat_1	turquoise	0	0	0	68.59954516	17.57748984	0	83.69167912	28.89940426	0	0	0	0	0	25.33291037	0	42.07870407	0
erpe_2018_pw_18hr_WHONDRS-PP48-000091_B_k121_2852339__full-cat_1	turquoise	0	0	0	17.22517113	0	0	17.10265269	0	0	0	0	0	0	6.599756209	0	0	0
erpe_2018_pw_18hr_WHONDRS-PP48-000091_B_k121_2942592__full-cat_2	turquoise	9.212553026	0	0	67.03362051	16.42929646	48.72251574	71.64898285	27.2126686	26.32845384	0	21.743954	54.27948868	0	20.38309322	0	34.72165986	0
erpe_2018_pw_18hr_WHONDRS-PP48-000091_B_k121_3018306__full-cat_2	turquoise	0	0	0	73.23709123	17.54371945	0	91.34907983	28.22471	0	0	0	0	0	26.39902484	0	47.86564738	0
erpe_2018_pw_18hr_WHONDRS-PP48-000091_B_k121_3384177__full-cat_2	turquoise	0	0	0	38.60606536	0	0	71.17672025	0	0	0	0	0	0	16.04248432	0	0	0
erpe_2018_pw_18hr_WHONDRS-PP48-000091_B_k121_3776772__full-cat_1	turquoise	0	0	0	20.4172483	0	21.22565042	18.11464397	0	0	0	0	0	0	6.574372531	0	0	0
erpe_2018_pw_18hr_WHONDRS-PP48-000091_B_k121_4048238__full-cat_1	turquoise	0	0	0	160.3265928	40.3387351	0	193.9649959	64.2927408	0	0	0	0	0	56.91020547	0	94.56493409	0
erpe_2018_pw_18hr_WHONDRS-PP48-000091_B_k121_4116402__full-cat_2	turquoise	0	0	0	21.92294507	7.142438236	0	31.06813239	9.361382898	0	0	0	0	0	9.518879148	0	15.5664289	0
erpe_2018_pw_18hr_WHONDRS-PP48-000091_B_k121_4157865__full-cat_1	turquoise	0	0	0	0	34.19252347	0	146.67127	38.54190977	0	0	0	0	64.95886757	73.48574702	0	75.40970314	0
erpe_2018_pw_18hr_WHONDRS-PP48-000091_B_k121_4268697__full-cat_2	turquoise	0	0	0	34.20943077	0	0	30.35973849	0	0	0	0	0	0	10.9403651	0	0	0
erpe_2018_pw_18hr_WHONDRS-PP48-000091_B_k121_4418614__full-cat_1	turquoise	14.42660213	20.70799813	0	25.29570585	8.22309083	0	38.89419832	11.07623082	0	0	12.87649776	0	0	0	0	0	0
erpe_2018_pw_18hr_WHONDRS-PP48-000091_B_k121_4740059__full-cat_2	turquoise	0	0	0	116.0591076	31.01810648	0	138.9126701	46.16033249	0	0	0	0	0	39.21778209	0	67.73863875	0
