	trimmed_erpe_2018_sw_0hr_WHONDRS.SW48.000085_95ID.sorted	trimmed_erpe_2018_sw_3hr_WHONDRS.SW48.000086_95ID.sorted	trimmed_erpe_2018_sw_6hr_WHONDRS.SW48.000087_95ID.sorted	trimmed_erpe_2018_sw_9hr_WHONDRS.SW48.000088_95ID.sorted	trimmed_erpe_2018_sw_12hr_WHONDRS.SW48.000089_95ID.sorted	trimmed_erpe_2018_sw_15hr_WHONDRS.SW48.000090_95ID.sorted	trimmed_erpe_2018_sw_18hr_WHONDRS.SW48.000091_95ID.sorted	trimmed_erpe_2018_sw_21hr_WHONDRS.SW48.000092_95ID.sorted	trimmed_erpe_2018_sw_24hr_WHONDRS.SW48.000093_95ID.sorted	trimmed_erpe_2018_sw_27hr_WHONDRS.SW48.000094_95ID.sorted	trimmed_erpe_2018_sw_30hr_WHONDRS.SW48.000095_95ID.sorted	trimmed_erpe_2018_sw_33hr_WHONDRS.SW48.000096_95ID.sorted	trimmed_erpe_2018_sw_39hr_WHONDRS.SW48.000098_95ID.sorted	trimmed_erpe_2018_sw_42hr_WHONDRS.SW48.000099_95ID.sorted	trimmed_erpe_2018_sw_45hr_WHONDRS.SW48.000100_95ID.sorted
erpe_2018_sw_3hr_WHONDRS-SW48-000086_A_NODE_176_length_21699_cov_3.449425__full-cat_1	17.89883301	19.08821924	17.12444413	12.34292839	17.67059685	15.48545182	14.12878748	15.19907397	14.84882681	20.03083213	14.13880448	13.58793655	14.37278479	15.78178781	17.00949864
erpe_2018_sw_3hr_WHONDRS-SW48-000086_A_NODE_568_length_12343_cov_1.469630__full-cat_1	2.584279047	9.061608396	2.957026591	0	3.475013568	0	1.870982923	1.731980149	2.943600029	0	0	0	0	0	1.841536336
erpe_2018_sw_3hr_WHONDRS-SW48-000086_A_NODE_573_length_12247_cov_1.337706__full-cat_1	4.138170307	3.707021616	4.27253165	4.136669842	4.249503396	5.138354468	4.664428178	3.501886871	3.800514704	2.903629028	3.090449067	3.928686003	3.000144398	2.731032784	3.800228065
erpe_2018_sw_3hr_WHONDRS-SW48-000086_A_NODE_625_length_11752_cov_1.978237__full-cat_1	6.306970407	12.15667724	8.327718987	4.047228332	5.207425024	5.429963626	3.335457021	2.812887469	3.565026702	6.901379138	4.227292831	2.904667596	3.957001083	1.965448184	1.585258913
erpe_2018_sw_3hr_WHONDRS-SW48-000086_A_NODE_631_length_11653_cov_1.772601__full-cat_2	8.135077772	10.28551395	9.969240518	9.447259504	9.61997891	10.04543271	11.46042186	12.43991582	10.97635744	9.199033412	10.27574315	9.816791842	10.89421205	10.16750074	9.390736981
erpe_2018_sw_3hr_WHONDRS-SW48-000086_A_NODE_752_length_10590_cov_1.720061__full-cat_1	5.334749672	5.378123424	5.525121251	3.991327388	5.248187647	5.01768861	3.929585303	3.147905527	3.75472537	4.578475916	3.868579993	4.578543838	2.880537312	3.469754766	5.74427537
erpe_2018_sw_3hr_WHONDRS-SW48-000086_A_NODE_810_length_10181_cov_3.527750__full-cat_1	20.15903848	22.06560486	20.24161916	18.57029353	25.39511382	25.8928821	27.12664655	25.68893185	32.38614165	22.53047799	21.9532257	23.52288436	29.17416164	19.9051996	28.83487114
erpe_2018_sw_3hr_WHONDRS-SW48-000086_A_NODE_825_length_10038_cov_1.745031__full-cat_2	4.395767253	3.636411681	4.489875965	4.315552862	5.034183879	5.761794736	7.280677279	10.22437187	8.196290748	9.283196572	7.383965807	5.54348426	9.060236737	10.06900448	7.995855582
erpe_2018_sw_3hr_WHONDRS-SW48-000086_B_k121_18541__full-cat_1	10.00473303	12.61564182	12.27995375	9.57024158	10.12951169	10.50798516	10.4545731	8.991758257	7.862682744	6.556310181	9.381720383	10.54542032	7.923969424	6.469413725	12.45142163
erpe_2018_sw_3hr_WHONDRS-SW48-000086_B_k121_19369__full-cat_1	7.67805093	9.8971593	6.852065485	5.388850983	7.276128116	7.501394194	6.895015061	6.504407203	8.183208081	8.626723923	7.709566691	7.463518772	7.804362338	6.809673547	9.93624178
erpe_2018_sw_3hr_WHONDRS-SW48-000086_B_k121_22877__full-cat_1	39.22121255	52.56909702	53.80415694	27.10077756	29.76690508	34.05793852	27.2621495	17.02271001	21.48828021	38.95071055	22.35056915	20.69698741	34.86546546	12.92539614	10.70141294
erpe_2018_sw_3hr_WHONDRS-SW48-000086_B_k121_45840__full-cat_1	7.270881563	10.87393007	8.882518947	6.518050048	7.50032254	7.722614934	7.025306351	6.962686622	8.503733417	8.35740181	7.742678645	10.31895471	6.757800339	9.804855403	9.566470071
erpe_2018_sw_3hr_WHONDRS-SW48-000086_B_k121_66613__full-cat_1	14.40050028	15.3694293	16.18071223	13.23734349	13.75738509	13.64529748	14.45190987	10.85648141	11.09410144	8.626723923	13.31100563	16.0298266	9.907453594	9.415347449	17.00949864
erpe_2018_sw_3hr_WHONDRS-SW48-000086_B_k121_89822__full-cat_2	8.882939875	10.39142885	10.37533121	9.078313275	9.36521252	10.17615405	8.448087236	7.212369892	8.438320083	8.054414433	7.94686903	9.078317029	6.817603881	8.596037614	7.809139174
